Calibracion,Mercado,Fuente_Cuotas,Gestion Capital,Banca Final,Monto Apostado,ROI,Total Apuestas,Win Rate,Max Drawdown
ISO,DOUBLE_CHANCE_X2,Sintético (Poisson/Arbitraje),HALF,$231.29,$12224.17,-6.29%,474,48.95%,88.95%
ISO,DOUBLE_CHANCE_X2,Sintético (Poisson/Arbitraje),QUARTER,$551.74,$8300.94,-5.40%,474,48.95%,64.29%
ISO,DOUBLE_CHANCE_X2,Sintético (Poisson/Arbitraje),EDGE,$231.78,$12661.68,-6.07%,474,48.95%,89.43%
ISO,OVER,Real (Bet365),FLAT,$839.00,$7440.00,-2.16%,744,52.02%,24.63%
ISO,OVER,Real (Bet365),KELLY,$11.96,$16846.32,-5.87%,744,52.02%,99.11%
ISO,OVER,Real (Bet365),HALF,$240.41,$20516.24,-3.70%,744,52.02%,79.79%
ISO,OVER,Real (Bet365),QUARTER,$595.96,$14496.91,-2.79%,744,52.02%,49.02%
ISO,OVER,Real (Bet365),EDGE,$210.09,$16954.36,-4.66%,744,52.02%,82.00%
ISO,UNDER,Real (Bet365),FLAT,$991.90,$7760.00,-0.10%,776,43.30%,43.44%
ISO,UNDER,Real (Bet365),KELLY,$8.09,$176244.33,-0.56%,776,43.30%,99.97%
ISO,UNDER,Real (Bet365),HALF,$275.77,$68774.41,-1.05%,776,43.30%,96.26%
ISO,UNDER,Real (Bet365),QUARTER,$698.14,$25830.32,-1.17%,776,43.30%,77.50%
ISO,UNDER,Real (Bet365),EDGE,$273.10,$75200.06,-0.97%,776,43.30%,97.41%
ISO,BTTS,Sintético (Poisson/Arbitraje),FLAT,$832.67,$3980.00,-4.20%,398,50.75%,32.23%
ISO,BTTS,Sintético (Poisson/Arbitraje),KELLY,$52.31,$9507.28,-9.97%,398,50.75%,97.86%
ISO,BTTS,Sintético (Poisson/Arbitraje),HALF,$340.07,$9337.81,-7.07%,398,50.75%,81.07%
ISO,BTTS,Sintético (Poisson/Arbitraje),QUARTER,$643.23,$6685.11,-5.34%,398,50.75%,53.64%
ISO,BTTS,Sintético (Poisson/Arbitraje),EDGE,$376.39,$9248.06,-6.74%,398,50.75%,80.58%
ISO,BTTS_NO,Sintético (Poisson/Arbitraje),FLAT,$531.35,$8770.00,-5.34%,877,43.44%,68.02%
ISO,BTTS_NO,Sintético (Poisson/Arbitraje),KELLY,$0.94,$16639.93,-6.00%,686,44.75%,99.93%
ISO,BTTS_NO,Sintético (Poisson/Arbitraje),HALF,$31.03,$18821.87,-5.15%,877,43.44%,98.92%
ISO,BTTS_NO,Sintético (Poisson/Arbitraje),QUARTER,$232.17,$13784.65,-5.57%,877,43.44%,87.56%
ISO,BTTS_NO,Sintético (Poisson/Arbitraje),EDGE,$31.02,$19103.31,-5.07%,877,43.44%,98.91%
ISO,HOME_CLEAN_SHEET,Sintético (Poisson/Arbitraje),FLAT,$153.20,$11170.00,-7.58%,1117,22.74%,97.36%
ISO,HOME_CLEAN_SHEET,Sintético (Poisson/Arbitraje),KELLY,$0.92,$47902.50,-2.09%,461,25.16%,99.99%
ISO,HOME_CLEAN_SHEET,Sintético (Poisson/Arbitraje),HALF,$1.93,$25577.89,-3.90%,1082,23.01%,99.95%
ISO,HOME_CLEAN_SHEET,Sintético (Poisson/Arbitraje),QUARTER,$98.12,$16878.60,-5.34%,1117,22.74%,96.22%
ISO,HOME_CLEAN_SHEET,Sintético (Poisson/Arbitraje),EDGE,$1.96,$20766.28,-4.81%,955,23.56%,99.94%
ISO,PORTFOLIO_REAL,Real (Bet365),FLAT,$7.53,$19790.00,-5.02%,1979,31.83%,99.56%
ISO,PORTFOLIO_REAL,Real (Bet365),KELLY,$0.95,$31991.55,-3.12%,762,32.41%,99.99%
ISO,PORTFOLIO_REAL,Real (Bet365),HALF,$1.91,$42920.24,-2.33%,1569,32.63%,99.95%
ISO,PORTFOLIO_REAL,Real (Bet365),QUARTER,$20.77,$39190.83,-2.50%,2260,32.04%,99.54%
